2016ID,packID,row,group.position,position,maternalID,paternalID,maternalpositionID,maternalrow,maternalposition,seed.mass,cohort,row,position,planting.notes
1,1,103,1,0.8,522,NA,284,108,13.1,12.9,field,103,0.8,
2,1,103,1,0.9,522,NA,284,108,13.1,NA,field,103,0.9,
3,1,103,1,1,522,NA,284,108,13.1,NA,field,103,1,
4,1,103,1,1.1,522,NA,284,108,13.1,NA,field,103,1.1,
5,1,103,1,1.2,522,NA,284,108,13.1,NA,field,103,1.2,
6,2,103,3,2.8,547,NA,365,108,45.2,4.35,field,103,2.8,
7,2,103,3,2.9,547,NA,365,108,45.2,NA,field,103,2.9,
8,2,103,3,3,547,NA,365,108,45.2,NA,field,103,3,
9,2,103,3,3.1,547,NA,365,108,45.2,NA,field,103,3.1,
10,2,103,3,3.2,547,NA,365,108,45.2,NA,field,103,3.2,
11,3,103,5,4.8,522,NA,282,108,12.9,8.08,field,103,4.8,
12,3,103,5,4.9,522,NA,282,108,12.9,NA,field,103,4.9,
13,3,103,5,5,522,NA,282,108,12.9,NA,field,103,5,
14,3,103,5,5.1,522,NA,282,108,12.9,NA,field,103,5.1,
15,3,103,5,5.2,522,NA,282,108,12.9,NA,field,103,5.2,
16,4,103,7,6.8,552,NA,1454,324,37.1,13.25,field,103,6.8,
17,4,103,7,6.9,552,NA,1454,324,37.1,NA,field,103,6.9,
18,4,103,7,7,552,NA,1454,324,37.1,NA,field,103,7,
19,4,103,7,7.1,552,NA,1454,324,37.1,NA,field,103,7.1,
20,4,103,7,7.2,552,NA,1454,324,37.1,NA,field,103,7.2,
21,5,103,9,8.8,522,NA,285,108,13.2,4.66,field,103,8.8,
22,5,103,9,8.9,522,NA,285,108,13.2,NA,field,103,8.9,
23,5,103,9,9,522,NA,285,108,13.2,NA,field,103,9,
24,5,103,9,9.1,522,NA,285,108,13.2,NA,field,103,9.1,
25,5,103,9,9.2,522,NA,285,108,13.2,NA,field,103,9.2,
26,6,103,11,10.8,568,NA,714,118,35.1,9.36,field,103,10.8,
27,6,103,11,10.9,568,NA,714,118,35.1,NA,field,103,10.9,
28,6,103,11,11,568,NA,714,118,35.1,NA,field,103,11,
29,6,103,11,11.1,568,NA,714,118,35.1,NA,field,103,11.1,
30,6,103,11,11.2,568,NA,714,118,35.1,NA,field,103,11.2,
31,7,103,13,12.8,550,NA,1013,210,9,12.35,field,103,12.8,
32,7,103,13,12.9,550,NA,1013,210,9,NA,field,103,12.9,
33,7,103,13,13,550,NA,1013,210,9,NA,field,103,13,
34,7,103,13,13.1,550,NA,1013,210,9,NA,field,103,13.1,
35,7,103,13,13.2,550,NA,1013,210,9,NA,field,103,13.2,
36,8,103,15,14.8,542,NA,349,108,39.1,10.43,field,103,14.8,
37,8,103,15,14.9,542,NA,349,108,39.1,NA,field,103,14.9,
38,8,103,15,15,542,NA,349,108,39.1,NA,field,103,15,
39,8,103,15,15.1,542,NA,349,108,39.1,NA,field,103,15.1,
40,8,103,15,15.2,542,NA,349,108,39.1,NA,field,103,15.2,
41,9,103,17,16.8,573,NA,1079,210,35.1,7.55,field,103,16.8,
42,9,103,17,16.9,573,NA,1079,210,35.1,NA,field,103,16.9,
43,9,103,17,17,573,NA,1079,210,35.1,NA,field,103,17,
44,9,103,17,17.1,573,NA,1079,210,35.1,NA,field,103,17.1,
45,9,103,17,17.2,573,NA,1079,210,35.1,NA,field,103,17.2,
