cohort,packID,row,group.position,position,damID,sireID,2015positionID,2015row,2015position,maternalpositionID,maternalpackID,maternalrow,maternalposition,maternal.seed.mass,maternal.cohort,seed.mass,planting.notes
greenhouse,1,103,1,0.8,148,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.83,
greenhouse,1,103,1,0.9,148,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,1,103,1,1,148,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,1,103,1,1.1,148,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,1,103,1,1.2,148,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,6,103,3,2.8,114,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.94,
greenhouse,6,103,3,2.9,114,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,6,103,3,3,114,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,6,103,3,3.1,114,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,6,103,3,3.2,114,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,9,103,5,4.8,73,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.78,
greenhouse,9,103,5,4.9,73,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,9,103,5,5,73,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,9,103,5,5.1,73,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,9,103,5,5.2,73,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,10,103,7,6.8,20,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.02,
greenhouse,10,103,7,6.9,20,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,10,103,7,7,20,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,10,103,7,7.1,20,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,10,103,7,7.2,20,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,12,103,9,8.8,77,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.31,
greenhouse,12,103,9,8.9,77,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,12,103,9,9,77,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,12,103,9,9.1,77,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,12,103,9,9.2,77,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
greenhouse,14,103,11,10.8,189,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.96,
greenhouse,14,103,11,10.9,189,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
