packID,row,group.position,position,maternalID,paternalID,maternalpositionID,maternalrow,maternalposition,seed.mass,cohort,planting.notes,
1,102,1,0.8,355,NA,3085,806,33.2,7.52,field,,
1,102,1,0.9,355,NA,3085,806,33.2,NA,field,,
1,102,1,1,355,NA,3085,806,33.2,NA,field,,
1,102,1,1.1,355,NA,3085,806,33.2,NA,field,,
1,102,1,1.2,355,NA,3085,806,33.2,NA,field,,
2,102,3,2.8,378,NA,563,308,25,11.09,field,,
2,102,3,2.9,378,NA,563,308,25,NA,field,,
2,102,3,3,378,NA,563,308,25,NA,field,,
2,102,3,3.1,378,NA,563,308,25,NA,field,,
2,102,3,3.2,378,NA,563,308,25,NA,field,,
3,102,5,4.8,411,NA,3128,808,1,9.8,field,,
3,102,5,4.9,411,NA,3128,808,1,NA,field,,
3,102,5,5,411,NA,3128,808,1,NA,field,,
3,102,5,5.1,411,NA,3128,808,1,NA,field,,
3,102,5,5.2,411,NA,3128,808,1,NA,field,,
4,102,7,6.8,400,NA,3615,814,45.2,8.1,field,,
4,102,7,6.9,400,NA,3615,814,45.2,NA,field,,
4,102,7,7,400,NA,3615,814,45.2,NA,field,,
4,102,7,7.1,400,NA,3615,814,45.2,NA,field,,
4,102,7,7.2,400,NA,3615,814,45.2,NA,field,,
5,102,9,8.8,408,NA,3271,810,8.8,11.88,field,,
5,102,9,8.9,408,NA,3271,810,8.8,NA,field,,
5,102,9,9,408,NA,3271,810,8.8,NA,field,,
5,102,9,9.1,408,NA,3271,810,8.8,NA,field,,
5,102,9,9.2,408,NA,3271,810,8.8,NA,field,,
6,102,11,10.8,414,NA,514,308,5.1,7.52,field,,
6,102,11,10.9,414,NA,514,308,5.1,NA,field,,
6,102,11,11,414,NA,514,308,5.1,NA,field,,
6,102,11,11.1,414,NA,514,308,5.1,NA,field,,
6,102,11,11.2,414,NA,514,308,5.1,NA,field,,
7,102,13,12.8,414,NA,2880,804,1.2,10,field,,
7,102,13,12.9,414,NA,2880,804,1.2,NA,field,,
7,102,13,13,414,NA,2880,804,1.2,NA,field,,
7,102,13,13.1,414,NA,2880,804,1.2,NA,field,,
7,102,13,13.2,414,NA,2880,804,1.2,NA,field,,
8,102,15,14.8,420,NA,59,100,23.1,8.17,field,,
8,102,15,14.9,420,NA,59,100,23.1,NA,field,,
8,102,15,15,420,NA,59,100,23.1,NA,field,,
8,102,15,15.1,420,NA,59,100,23.1,NA,field,,
8,102,15,15.2,420,NA,59,100,23.1,NA,field,,
9,102,17,16.8,349,NA,83,100,33,11.55,field,,
9,102,17,16.9,349,NA,83,100,33,NA,field,,
9,102,17,17,349,NA,83,100,33,NA,field,,
9,102,17,17.1,349,NA,83,100,33,NA,field,,
9,102,17,17.2,349,NA,83,100,33,NA,field,,
10,102,19,18.8,350,NA,1912,606,14.9,5.12,field,,
10,102,19,18.9,350,NA,1912,606,14.9,NA,field,,
10,102,19,19,350,NA,1912,606,14.9,NA,field,,
10,102,19,19.1,350,NA,1912,606,14.9,NA,field,,
10,102,19,19.2,350,NA,1912,606,14.9,NA,field,,
11,102,21,20.8,398,NA,1900,606,9.2,9.99,field,,
11,102,21,20.9,398,NA,1900,606,9.2,NA,field,,
11,102,21,21,398,NA,1900,606,9.2,NA,field,,
11,102,21,21.1,398,NA,1900,606,9.2,NA,field,,
11,102,21,21.2,398,NA,1900,606,9.2,NA,field,,
12,102,23,22.8,352,NA,1993,606,47,11.8,field,,
12,102,23,22.9,352,NA,1993,606,47,NA,field,,
12,102,23,23,352,NA,1993,606,47,NA,field,,
12,102,23,23.1,352,NA,1993,606,47,NA,field,,
12,102,23,23.2,352,NA,1993,606,47,NA,field,,
13,102,25,24.8,414,NA,1062,420,24.9,9.37,field,,
13,102,25,24.9,414,NA,1062,420,24.9,NA,field,,
