cohort,packID,row,group.position,position,maternalpositionID,maternalrow,maternalposition,sireID,damID,seed.mass,seed.mass.mg,
field,1,101,1,0.8,6266,717,6.8,114,113,10.6,4.48,
field,1,101,1,0.9,6266,717,6.8,114,113,10.6,NA,
field,1,101,1,1,6266,717,6.8,114,113,10.6,NA,
field,1,101,1,1.1,6266,717,6.8,114,113,10.6,NA,
field,1,101,1,1.2,6266,717,6.8,114,113,10.6,NA,
field,2,101,3,2.8,1682,217,22.9,41,83,NA,6.54,
field,2,101,3,2.9,1682,217,22.9,41,83,NA,NA,
field,2,101,3,3,1682,217,22.9,41,83,NA,NA,
field,2,101,3,3.1,1682,217,22.9,41,83,NA,NA,
field,2,101,3,3.2,1682,217,22.9,41,83,NA,NA,
field,3,101,5,4.8,72,108,28.9,81,52,NA,5.02,
field,3,101,5,4.9,72,108,28.9,81,52,NA,NA,
field,3,101,5,5,72,108,28.9,81,52,NA,NA,
field,3,101,5,5.1,72,108,28.9,81,52,NA,NA,
field,3,101,5,5.2,72,108,28.9,81,52,NA,NA,
field,4,101,7,6.8,1591,213,36.8,154,25,8.1,10.31,
field,4,101,7,6.9,1591,213,36.8,154,25,8.1,NA,
field,4,101,7,7,1591,213,36.8,154,25,8.1,NA,
field,4,101,7,7.1,1591,213,36.8,154,25,8.1,NA,
field,4,101,7,7.2,1591,213,36.8,154,25,8.1,NA,
field,5,101,9,8.8,978,201,41,40,119,NA,6.54,
field,5,101,9,8.9,978,201,41,40,119,NA,NA,
field,5,101,9,9,978,201,41,40,119,NA,NA,
field,5,101,9,9.1,978,201,41,40,119,NA,NA,
field,5,101,9,9.2,978,201,41,40,119,NA,NA,
field,6,101,11,10.8,2655,317,11.2,136,72,NA,8.47,
field,6,101,11,10.9,2655,317,11.2,136,72,NA,NA,
field,6,101,11,11,2655,317,11.2,136,72,NA,NA,
field,6,101,11,11.1,2655,317,11.2,136,72,NA,NA,
field,6,101,11,11.2,2655,317,11.2,136,72,NA,NA,
field,7,101,13,12.8,4557,513,22.9,26,80,NA,10.17,
field,7,101,13,12.9,4557,513,22.9,26,80,NA,NA,
field,7,101,13,13,4557,513,22.9,26,80,NA,NA,
field,7,101,13,13.1,4557,513,22.9,26,80,NA,NA,
field,7,101,13,13.2,4557,513,22.9,26,80,NA,NA,
field,8,101,15,14.8,331,116,32.8,53,14,13.47,7.51,
field,8,101,15,14.9,331,116,32.8,53,14,13.47,NA,
field,8,101,15,15,331,116,32.8,53,14,13.47,NA,
field,8,101,15,15.1,331,116,32.8,53,14,13.47,NA,
field,8,101,15,15.2,331,116,32.8,53,14,13.47,NA,
field,9,101,17,16.8,6140,716,5.2,23,21,NA,6.64,
field,9,101,17,16.9,6140,716,5.2,23,21,NA,NA,
field,9,101,17,17,6140,716,5.2,23,21,NA,NA,
field,9,101,17,17.1,6140,716,5.2,23,21,NA,NA,
field,9,101,17,17.2,6140,716,5.2,23,21,NA,NA,
field,10,101,19,18.8,92,108,36.9,26,80,NA,7.13,
field,10,101,19,18.9,92,108,36.9,26,80,NA,NA,
field,10,101,19,19,92,108,36.9,26,80,NA,NA,
field,10,101,19,19.1,92,108,36.9,26,80,NA,NA,
field,10,101,19,19.2,92,108,36.9,26,80,NA,NA,
field,11,101,21,20.8,822,124,28.9,117,18,NA,5.09,
field,11,101,21,20.9,822,124,28.9,117,18,NA,NA,
field,11,101,21,21,822,124,28.9,117,18,NA,NA,
field,11,101,21,21.1,822,124,28.9,117,18,NA,NA,
field,11,101,21,21.2,822,124,28.9,117,18,NA,NA,
field,12,101,23,22.8,54,108,21.1,104,106,NA,9.95,
field,12,101,23,22.9,54,108,21.1,104,106,NA,NA,
field,12,101,23,23,54,108,21.1,104,106,NA,NA,
field,12,101,23,23.1,54,108,21.1,104,106,NA,NA,
field,12,101,23,23.2,54,108,21.1,104,106,NA,NA,
field,13,101,25,24.8,3959,\,33.1,104,62,NA,10.63,
field,13,101,25,24.9,3959,417,33.1,104,62,NA,NA,
field,13,101,25,25,3959,417,33.1,104,62,NA,NA,
field,13,101,25,25.1,3959,417,33.1,104,62,NA,NA,
field,13,101,25,25.2,3959,417,33.1,104,62,NA,NA,
field,14,101,27,26.8,2893,325,7,75,148,NA,2.61,
field,14,101,27,26.9,2893,325,7,75,148,NA,NA,
field,14,101,27,27,2893,325,7,75,148,NA,NA,
field,14,101,27,27.1,2893,325,7,75,148,NA,NA,
field,14,101,27,27.2,2893,325,7,75,148,NA,NA,
field,15,101,29,28.8,3936,417,24.8,53,14,18.99,4.65,
field,15,101,29,28.9,3936,417,24.8,53,14,18.99,NA,
field,15,101,29,29,3936,417,24.8,53,14,18.99,NA,
field,15,101,29,29.1,3936,417,24.8,53,14,18.99,NA,
field,15,101,29,29.2,3936,417,24.8,53,14,18.99,NA,
field,16,101,31,30.8,2906,325,12.8,146,149,10.44,4.67,
field,16,101,31,30.9,2906,325,12.8,146,149,10.44,NA,
field,16,101,31,31,2906,325,12.8,146,149,10.44,NA,
field,16,101,31,31.1,2906,325,12.8,146,149,10.44,NA,
field,16,101,31,31.2,2906,325,12.8,146,149,10.44,NA,
field,17,101,33,32.8,6556,723,22.8,110,171,NA,6.14,"seed fell near 32.8, not at exact position"
field,17,101,33,32.9,6556,723,22.8,110,171,NA,NA,
field,17,101,33,33,6556,723,22.8,110,171,NA,NA,
field,17,101,33,33.1,6556,723,22.8,110,171,NA,NA,
field,17,101,33,33.2,6556,723,22.8,110,171,NA,NA,
field,18,101,35,34.8,370,116,47.2,5,97,NA,4.23,
field,18,101,35,34.9,370,116,47.2,5,97,NA,NA,
field,18,101,35,35,370,116,47.2,5,97,NA,NA,
field,18,101,35,35.1,370,116,47.2,5,97,NA,NA,
field,18,101,35,35.2,370,116,47.2,5,97,NA,NA,
field,19,101,37,36.8,568,119,27,68,158,NA,5.27,
field,19,101,37,36.9,568,119,27,68,158,NA,NA,
field,19,101,37,37,568,119,27,68,158,NA,NA,
field,19,101,37,37.1,568,119,27,68,158,NA,NA,
field,19,101,37,37.2,568,119,27,68,158,NA,NA,
field,20,101,39,38.8,4342,505,36.9,75,148,NA,6.42,
field,20,101,39,38.9,4342,505,36.9,75,148,NA,NA,
field,20,101,39,39,4342,505,36.9,75,148,NA,NA,
field,20,101,39,39.1,4342,505,36.9,75,148,NA,NA,
field,20,101,39,39.2,4342,505,36.9,75,148,NA,NA,
field,21,101,41,40.8,1053,203,21,91,141,NA,9.20,
field,21,101,41,40.9,1053,203,21,91,141,NA,NA,
field,21,101,41,41,1053,203,21,91,141,NA,NA,
field,21,101,41,41.1,1053,203,21,91,141,NA,NA,
field,21,101,41,41.2,1053,203,21,91,141,NA,NA,
field,22,101,43,42.8,4582,513,32.9,131,67,NA,10.37,
field,22,101,43,42.9,4582,513,32.9,131,67,NA,NA,
field,22,101,43,43,4582,513,32.9,131,67,NA,NA,"1 extra seed in packet, not planted"
field,22,101,43,43.1,4582,513,32.9,131,67,NA,NA,
field,22,101,43,43.2,4582,513,32.9,131,67,NA,NA,
field,23,101,45,44.8,1118,203,47,104,62,NA,9.17,
field,23,101,45,44.9,1118,203,47,104,62,NA,NA,
field,23,101,45,45,1118,203,47,104,62,NA,NA,
field,23,101,45,45.1,1118,203,47,104,62,NA,NA,
field,23,101,45,45.2,1118,203,47,104,62,NA,NA,
field,24,101,47,46.8,3802,416,20.9,75,148,NA,8.11,
field,24,101,47,46.9,3802,416,20.9,75,148,NA,NA,
field,24,101,47,47,3802,416,20.9,75,148,NA,NA,
field,24,101,47,47.1,3802,416,20.9,75,148,NA,NA,
field,24,101,47,47.2,3802,416,20.9,75,148,NA,NA,
field,25,101,49,48.8,2655,317,11.2,136,72,NA,8.58,
field,25,101,49,48.9,2655,317,11.2,136,72,NA,NA,
field,25,101,49,49,2655,317,11.2,136,72,NA,NA,
field,25,101,49,49.1,2655,317,11.2,136,72,NA,NA,
field,25,101,49,49.2,2655,317,11.2,136,72,NA,NA,
field,26,103,1,0.8,82,108,32.9,105,69,NA,4.50,
field,26,103,1,0.9,82,108,32.9,105,69,NA,NA,
field,26,103,1,1,82,108,32.9,105,69,NA,NA,
field,26,103,1,1.1,82,108,32.9,105,69,NA,NA,
field,26,103,1,1.2,82,108,32.9,105,69,NA,NA,
field,27,103,3,2.8,3950,417,29.2,164,47,NA,9.76,
field,27,103,3,2.9,3950,417,29.2,164,47,NA,NA,
field,27,103,3,3,3950,417,29.2,164,47,NA,NA,
field,27,103,3,3.1,3950,417,29.2,164,47,NA,NA,
field,27,103,3,3.2,3950,417,29.2,164,47,NA,NA,
field,28,103,5,4.8,4582,513,32.9,131,67,NA,10.25,
field,28,103,5,4.9,4582,513,32.9,131,67,NA,NA,
field,28,103,5,5,4582,513,32.9,131,67,NA,NA,
field,28,103,5,5.1,4582,513,32.9,131,67,NA,NA,
