2016positionID,packID,row,group.position,position,maternalID,paternalID,maternalpositionID,maternalrow,maternalposition,seed.mass,cohort,planting.notes
1,6,108,1,0.8,36,164,NA,NA,NA,11.75,greenhouse,
2,6,108,1,0.9,36,164,NA,NA,NA,NA,greenhouse,
3,6,108,1,1,36,164,NA,NA,NA,NA,greenhouse,
4,6,108,1,1.1,36,164,NA,NA,NA,NA,greenhouse,
5,6,108,1,1.2,36,164,NA,NA,NA,NA,greenhouse,
6,9,108,3,2.8,167,142,NA,NA,NA,9.95,greenhouse,
7,9,108,3,2.9,167,142,NA,NA,NA,NA,greenhouse,
8,9,108,3,3,167,142,NA,NA,NA,NA,greenhouse,
9,9,108,3,3.1,167,142,NA,NA,NA,NA,greenhouse,
10,9,108,3,3.2,167,142,NA,NA,NA,NA,greenhouse,
11,11,108,5,4.8,169,198,NA,NA,NA,9.14,greenhouse,
12,11,108,5,4.9,169,198,NA,NA,NA,NA,greenhouse,
13,11,108,5,5,169,198,NA,NA,NA,NA,greenhouse,
14,11,108,5,5.1,169,198,NA,NA,NA,NA,greenhouse,
15,11,108,5,5.2,169,198,NA,NA,NA,NA,greenhouse,
16,12,108,7,6.8,57,123,NA,NA,NA,6.52,greenhouse,
17,12,108,7,6.9,57,123,NA,NA,NA,NA,greenhouse,
18,12,108,7,7,57,123,NA,NA,NA,NA,greenhouse,
19,12,108,7,7.1,57,123,NA,NA,NA,NA,greenhouse,
20,12,108,7,7.2,57,123,NA,NA,NA,NA,greenhouse,
21,16,108,9,8.8,102,49,NA,NA,NA,11.65,greenhouse,
22,16,108,9,8.9,102,49,NA,NA,NA,NA,greenhouse,
23,16,108,9,9,102,49,NA,NA,NA,NA,greenhouse,
24,16,108,9,9.1,102,49,NA,NA,NA,NA,greenhouse,
25,16,108,9,9.2,102,49,NA,NA,NA,NA,greenhouse,
26,17,108,11,10.8,94,30,NA,NA,NA,12.76,greenhouse,
27,17,108,11,10.9,94,30,NA,NA,NA,NA,greenhouse,
28,17,108,11,11,94,30,NA,NA,NA,NA,greenhouse,
29,17,108,11,11.1,94,30,NA,NA,NA,NA,greenhouse,
30,17,108,11,11.2,94,30,NA,NA,NA,NA,greenhouse,
31,19,108,13,12.8,141,91,NA,NA,NA,9.74,greenhouse,
32,19,108,13,12.9,141,91,NA,NA,NA,NA,greenhouse,
33,19,108,13,13,141,91,NA,NA,NA,NA,greenhouse,
34,19,108,13,13.1,141,91,NA,NA,NA,NA,greenhouse,
35,19,108,13,13.2,141,91,NA,NA,NA,NA,greenhouse,
36,20,108,15,14.8,45,154,NA,NA,NA,11.48,greenhouse,
37,20,108,15,14.9,45,154,NA,NA,NA,NA,greenhouse,
38,20,108,15,15,45,154,NA,NA,NA,NA,greenhouse,
39,20,108,15,15.1,45,154,NA,NA,NA,NA,greenhouse,
40,20,108,15,15.2,45,154,NA,NA,NA,NA,greenhouse,
41,21,108,17,16.8,102,49,NA,NA,NA,10.09,greenhouse,
42,21,108,17,16.9,102,49,NA,NA,NA,NA,greenhouse,
43,21,108,17,17,102,49,NA,NA,NA,NA,greenhouse,
44,21,108,17,17.1,102,49,NA,NA,NA,NA,greenhouse,
45,21,108,17,17.2,102,49,NA,NA,NA,NA,greenhouse,
46,25,108,19,18.8,157,26,NA,NA,NA,13.19,greenhouse,
47,25,108,19,18.9,157,26,NA,NA,NA,NA,greenhouse,
48,25,108,19,19,157,26,NA,NA,NA,NA,greenhouse,
49,25,108,19,19.1,157,26,NA,NA,NA,NA,greenhouse,
50,25,108,19,19.2,157,26,NA,NA,NA,NA,greenhouse,
51,26,108,21,20.8,106,104,NA,NA,NA,10.82,greenhouse,
52,26,108,21,20.9,106,104,NA,NA,NA,NA,greenhouse,
53,26,108,21,21,106,104,NA,NA,NA,NA,greenhouse,
54,26,108,21,21.1,106,104,NA,NA,NA,NA,greenhouse,
55,26,108,21,21.2,106,104,NA,NA,NA,NA,greenhouse,
56,27,108,23,22.8,120,114,NA,NA,NA,10.29,greenhouse,
57,27,108,23,22.9,120,114,NA,NA,NA,NA,greenhouse,
58,27,108,23,23,120,114,NA,NA,NA,NA,greenhouse,
59,27,108,23,23.1,120,114,NA,NA,NA,NA,greenhouse,
60,27,108,23,23.2,120,114,NA,NA,NA,NA,greenhouse,
61,28,108,25,24.8,34,20,NA,NA,NA,10.49,greenhouse,
62,28,108,25,24.9,34,20,NA,NA,NA,NA,greenhouse,
63,28,108,25,25,34,20,NA,NA,NA,NA,greenhouse,
64,28,108,25,25.1,34,20,NA,NA,NA,NA,greenhouse,
65,28,108,25,25.2,34,20,NA,NA,NA,NA,greenhouse,
66,30,108,27,26.8,85,177,NA,NA,NA,10.77,greenhouse,
67,30,108,27,26.9,85,177,NA,NA,NA,NA,greenhouse,
68,30,108,27,27,85,177,NA,NA,NA,NA,greenhouse,
69,30,108,27,27.1,85,177,NA,NA,NA,NA,greenhouse,
70,30,108,27,27.2,85,177,NA,NA,NA,NA,greenhouse,
71,32,108,29,28.8,52,81,NA,NA,NA,9.69,greenhouse,
72,32,108,29,28.9,52,81,NA,NA,NA,NA,greenhouse,
73,32,108,29,29,52,81,NA,NA,NA,NA,greenhouse,
74,32,108,29,29.1,52,81,NA,NA,NA,NA,greenhouse,
75,32,108,29,29.2,52,81,NA,NA,NA,NA,greenhouse,
76,36,108,31,30.8,190,56,NA,NA,NA,8.28,greenhouse,
77,36,108,31,30.9,190,56,NA,NA,NA,NA,greenhouse,
78,36,108,31,31,190,56,NA,NA,NA,NA,greenhouse,
79,36,108,31,31.1,190,56,NA,NA,NA,NA,greenhouse,
80,36,108,31,31.2,190,56,NA,NA,NA,NA,greenhouse,
81,37,108,33,32.8,69,105,NA,NA,NA,9.24,greenhouse,
82,37,108,33,32.9,69,105,NA,NA,NA,NA,greenhouse,
83,37,108,33,33,69,105,NA,NA,NA,NA,greenhouse,
84,37,108,33,33.1,69,105,NA,NA,NA,NA,greenhouse,
85,37,108,33,33.2,69,105,NA,NA,NA,NA,greenhouse,
86,38,108,35,34.8,4,5,NA,NA,NA,14.22,greenhouse,
87,38,108,35,34.9,4,5,NA,NA,NA,NA,greenhouse,
88,38,108,35,35,4,5,NA,NA,NA,NA,greenhouse,
89,38,108,35,35.1,4,5,NA,NA,NA,NA,greenhouse,
90,38,108,35,35.2,4,5,NA,NA,NA,NA,greenhouse,
91,42,108,37,36.8,80,26,NA,NA,NA,9.2,greenhouse,
92,42,108,37,36.9,80,26,NA,NA,NA,NA,greenhouse,
93,42,108,37,37,80,26,NA,NA,NA,NA,greenhouse,
94,42,108,37,37.1,80,26,NA,NA,NA,NA,greenhouse,
95,42,108,37,37.2,80,26,NA,NA,NA,NA,greenhouse,
96,45,108,39,38.8,163,137,NA,NA,NA,10.46,greenhouse,
97,45,108,39,38.9,163,137,NA,NA,NA,NA,greenhouse,
98,45,108,39,39,163,137,NA,NA,NA,NA,greenhouse,
99,45,108,39,39.1,163,137,NA,NA,NA,NA,greenhouse,
100,45,108,39,39.2,163,137,NA,NA,NA,NA,greenhouse,
101,49,108,41,40.8,199,30,NA,NA,NA,11.03,greenhouse,
102,49,108,41,40.9,199,30,NA,NA,NA,NA,greenhouse,
103,49,108,41,41,199,30,NA,NA,NA,NA,greenhouse,
104,49,108,41,41.1,199,30,NA,NA,NA,NA,greenhouse,
105,49,108,41,41.2,199,30,NA,NA,NA,NA,greenhouse,
106,50,108,43,42.8,103,40,NA,NA,NA,9.74,greenhouse,
107,50,108,43,42.9,103,40,NA,NA,NA,NA,greenhouse,
108,50,108,43,43,103,40,NA,NA,NA,NA,greenhouse,
109,50,108,43,43.1,103,40,NA,NA,NA,NA,greenhouse,
110,50,108,43,43.2,103,40,NA,NA,NA,NA,greenhouse,
111,52,108,45,44.8,86,184,NA,NA,NA,8.37,greenhouse,
112,52,108,45,44.9,86,184,NA,NA,NA,NA,greenhouse,
113,52,108,45,45,86,184,NA,NA,NA,NA,greenhouse,
114,52,108,45,45.1,86,184,NA,NA,NA,NA,greenhouse,
115,52,108,45,45.2,86,184,NA,NA,NA,NA,greenhouse,
116,53,108,47,46.8,133,75,NA,NA,NA,8.99,greenhouse,
117,53,108,47,46.9,133,75,NA,NA,NA,NA,greenhouse,
118,53,108,47,47,133,75,NA,NA,NA,NA,greenhouse,
119,53,108,47,47.1,133,75,NA,NA,NA,NA,greenhouse,
120,53,108,47,47.2,133,75,NA,NA,NA,NA,greenhouse,
121,55,108,49,48.8,189,110,NA,NA,NA,10.38,greenhouse,
122,55,108,49,48.9,189,110,NA,NA,NA,NA,greenhouse,
123,55,108,49,49,189,110,NA,NA,NA,NA,greenhouse,
124,55,108,49,49.1,189,110,NA,NA,NA,NA,greenhouse,
125,55,108,49,49.2,189,110,NA,NA,NA,NA,greenhouse,
126,1,113,1,0.8,213,NA,243,106,47,11.02,field,
127,1,113,1,0.9,213,NA,243,106,47,NA,field,
128,1,113,1,1,213,NA,243,106,47,NA,field,
129,1,113,1,1.1,213,NA,243,106,47,NA,field,
130,1,113,1,1.2,213,NA,243,106,47,NA,field,
131,2,113,3,2.8,219,NA,494,120,47.1,8.32,field,
132,2,113,3,2.9,219,NA,494,120,47.1,NA,field,
133,2,113,3,3,219,NA,494,120,47.1,NA,field,
134,2,113,3,3.1,219,NA,494,120,47.1,NA,field,
135,2,113,3,3.2,219,NA,494,120,47.1,NA,field,
136,3,113,5,4.8,234,NA,240,106,45.2,7.11,field,
137,3,113,5,4.9,234,NA,240,106,45.2,NA,field,
138,3,113,5,5,234,NA,240,106,45.2,NA,field,
139,3,113,5,5.1,234,NA,240,106,45.2,NA,field,
140,3,113,5,5.2,234,NA,240,106,45.2,NA,field,
141,4,113,7,6.8,304,NA,3293,804,5,8.63,field,
142,4,113,7,6.9,304,NA,3293,804,5,NA,field,
143,4,113,7,7,304,NA,3293,804,5,NA,field,
144,4,113,7,7.1,304,NA,3293,804,5,NA,field,
145,4,113,7,7.2,304,NA,3293,804,5,NA,field,
146,5,113,9,8.8,269,NA,267,110,6.9,11.19,field,
147,5,113,9,8.9,269,NA,267,110,6.9,NA,field,
148,5,113,9,9,269,NA,267,110,6.9,NA,field,
149,5,113,9,9.1,269,NA,267,110,6.9,NA,field,
150,5,113,9,9.2,269,NA,267,110,6.9,NA,field,
151,6,113,11,10.8,294,NA,1092,302,36.9,9.1,field,
152,6,113,11,10.9,294,NA,1092,302,36.9,NA,field,
153,6,113,11,11,294,NA,1092,302,36.9,NA,field,
154,6,113,11,11.1,294,NA,1092,302,36.9,NA,field,
155,6,113,11,11.2,294,NA,1092,302,36.9,NA,field,
156,7,113,13,12.8,262,NA,1882,412,12.9,10.52,field,
157,7,113,13,12.9,262,NA,1882,412,12.9,NA,field,
158,7,113,13,13,262,NA,1882,412,12.9,NA,field,
159,7,113,13,13.1,262,NA,1882,412,12.9,NA,field,
160,7,113,13,13.2,262,NA,1882,412,12.9,NA,field,
161,8,113,15,14.8,257,NA,433,120,23,8.54,field,
162,8,113,15,14.9,257,NA,433,120,23,NA,field,
163,8,113,15,15,257,NA,433,120,23,NA,field,
164,8,113,15,15.1,257,NA,433,120,23,NA,field,
165,8,113,15,15.2,257,NA,433,120,23,NA,field,
166,9,113,17,16.8,253,NA,1946,412,38.8,9.67,field,
167,9,113,17,16.9,253,NA,1946,412,38.8,NA,field,
168,9,113,17,17,253,NA,1946,412,38.8,NA,field,
169,9,113,17,17.1,253,NA,1946,412,38.8,NA,field,
170,9,113,17,17.2,253,NA,1946,412,38.8,NA,field,
171,10,113,19,18.8,223,NA,357,110,42.9,9.05,field,
172,10,113,19,18.9,223,NA,357,110,42.9,NA,field,
173,10,113,19,19,223,NA,357,110,42.9,NA,field,
174,10,113,19,19.1,223,NA,357,110,42.9,NA,field,
175,10,113,19,19.2,223,NA,357,110,42.9,NA,field,
176,11,113,21,20.8,219,NA,494,120,47.1,8.82,field,
177,11,113,21,20.9,219,NA,494,120,47.1,NA,field,
178,11,113,21,21,219,NA,494,120,47.1,NA,field,
179,11,113,21,21.1,219,NA,494,120,47.1,NA,field,
180,11,113,21,21.2,219,NA,494,120,47.1,NA,field,
181,12,113,23,22.8,326,NA,2076,514,30.8,9.79,field,
182,12,113,23,22.9,326,NA,2076,514,30.8,NA,field,
183,12,113,23,23,326,NA,2076,514,30.8,NA,field,
184,12,113,23,23.1,326,NA,2076,514,30.8,NA,field,
185,12,113,23,23.2,326,NA,2076,514,30.8,NA,field,
186,13,113,25,24.8,293,NA,2695,614,27.2,7.69,field,
187,13,113,25,24.9,293,NA,2695,614,27.2,NA,field,
188,13,113,25,25,293,NA,2695,614,27.2,NA,field,
189,13,113,25,25.1,293,NA,2695,614,27.2,NA,field,
190,13,113,25,25.2,293,NA,2695,614,27.2,NA,field,
191,14,113,27,26.8,316,NA,2228,516,41,13.79,field,
192,14,113,27,26.9,316,NA,2228,516,41,NA,field,
193,14,113,27,27,316,NA,2228,516,41,NA,field,
194,14,113,27,27.1,316,NA,2228,516,41,NA,field,
195,14,113,27,27.2,316,NA,2228,516,41,NA,field,
196,15,113,29,28.8,278,NA,1142,500,9,7.74,field,
197,15,113,29,28.9,278,NA,1142,500,9,NA,field,
198,15,113,29,29,278,NA,1142,500,9,NA,field,
199,15,113,29,29.1,278,NA,1142,500,9,NA,field,
200,15,113,29,29.2,278,NA,1142,500,9,NA,field,
201,16,113,31,30.8,283,NA,175,106,19.2,10.5,field,
202,16,113,31,30.9,283,NA,175,106,19.2,NA,field,
203,16,113,31,31,283,NA,175,106,19.2,NA,field,
204,16,113,31,31.1,283,NA,175,106,19.2,NA,field,
205,16,113,31,31.2,283,NA,175,106,19.2,NA,field,
206,17,113,33,32.8,253,NA,2782,622,12.9,9.33,field,
207,17,113,33,32.9,253,NA,2782,622,12.9,NA,field,
208,17,113,33,33,253,NA,2782,622,12.9,NA,field,
209,17,113,33,33.1,253,NA,2782,622,12.9,NA,field,
210,17,113,33,33.2,253,NA,2782,622,12.9,NA,field,
211,18,113,35,34.8,208,NA,395,120,7.2,8.46,field,
212,18,113,35,34.9,208,NA,395,120,7.2,NA,field,
213,18,113,35,35,208,NA,395,120,7.2,NA,field,
